English,Hindi
gone,चला गया
girl,लड़की
known,ज्ञात
hear,सुनो
times,बार
least,कम से कम
perhaps,शायद
sure,ज़रूर
indeed,वास्तव में
english,अंग्रेज़ी
open,खुला
body,तन
itself,अपने आप
along,साथ में
land,भूमि
return,वापसी
leave,छोड़
air,वायु
nature,प्रकृति
answered,जवाब
either,या
law,कानून
help,मदद
lay,बिछाना
point,बिंदु
child,बच्चा
letter,पत्र
four,चार
wish,तमन्ना
fire,आग
cried,रोया
2,2
women,औरत
speak,बोलना
number,संख्या
therefore,इसलिए
hour,घंटा
friends,दोस्त
held,आयोजित
free,नि: शुल्क
war,युद्ध
during,दौरान
several,अनेक
business,व्यापार
whether,चाहे
er,एर
manner,तरीका
second,दूसरा
reason,कारण
replied,ने उत्तर दिया
united,संयुक्त
call,बुलाना
general,आम
why,क्यों
behind,पीछे
became,बन गया
john,जॉन
become,होना
dead,मृत
earth,धरती
boy,लड़का
lost,खोया
forth,आगे
thousand,हज़ार
looking,देखना
I'll,बीमार
family,परिवार
soul,आत्मा
feel,बोध
coming,आगामी
England,इंगलैंड
spirit,आत्मा
question,प्रश्न
care,देखभाल
truth,सच
ground,ज़मीन
really,वास्तव में
rest,आराम
mean,अर्थ
different,को अलग
making,निर्माण
possible,मुमकिन
fell,गिरा
towards,की ओर
human,मानव
kept,रखा
short,कम
town,नगर
following,अगले
need,जरुरत
cause,कारण
met,मुलाकात की
evening,संध्या
returned,लौटाया हुआ
five,पंज
strong,बलवान
able,योग्य
french,फ्रांसीसी
live,लाइव
lady,भद्र महिला
subject,विषय
sn,एस.एन.
answer,जवाब
sea,समुद्र
fear,डर
understand,समझना
hard,कठिन
terms,शर्तें
doubt,संदेह करना
around,चारों ओर
ask,पूछना
arms,हथियारों
turn,मोड़
sense,विवेक
seems,प्रतीत
black,काला
bring,लाओ
followed,पालन ​​किया
beautiful,सुंदर
close,बंद करे
dark,अंधेरा
hold,पकड़
character,चरित्र
sort,क्रम से लगाना
sight,दृश्य
ten,दस
show,प्रदर्शन
party,दल
fine,अच्छा
ye,तु
ready,तैयार
story,कहानी
common,सामान्य
book,पुस्तक
electronic,इलेक्ट्रोनिक
talk,बातचीत
account,खाता
interest,रुचि
written,लिखित
can't,नहीं कर सकता
bed,बिस्तर
necessary,ज़रूरी
age,आयु
else,वरना
force,बल
idea,विचार
longer,लंबे समय तक
art,कला
spoke,स्पोक
across,आर-पार
brother,भाई
early,शीघ्र
ought,चाहिए
sometimes,कभी-कभी
line,रेखा
saying,कह रहा
table,टेबल
appeared,दिखाई दिया
river,नदी
continued,निरंतर
eye,आंख
ety,ईटी
sun,रवि
information,जानकारी
later,बाद में
everything,हर चीज़
reached,पहुंच गए
suddenly,अचानक से
past,अतीत
hours,घंटे
strange,विचित्र
deep,गहरा
change,परिवर्तन
miles,मील की दूरी पर
feeling,भावना
act,कार्यवाही करना
meet,मिलना
paid,भुगतान किया है
further,आगे
purpose,प्रयोजन
happy,खुश
added,जोड़ा
seem,लगना
taking,ले रहा
blood,रक्त
rose,गुलाब
south,दक्षिण
beyond,के परे
cold,ठंडा
neither,कोई भी नहीं
forward,आगे
view,दृश्य
I've,मैंने
position,पद
sound,आवाज़
none,कोई भी नहीं
entered,घुसा
clear,स्पष्ट
road,सड़क
late,देर
stand,खड़ा होना
suppose,मान लेना
la,ला
daughter,बेटी
real,असली
nearly,लगभग
mine,मेरा
laws,कानून
knowledge,ज्ञान
comes,आता हे
toward,की ओर
bad,बुरा
cut,कट गया
copy,प्रतिलिपि
husband,पति
six,छह
France,फ्रांस
living,जीविका
peace,शांति
didn't,नहीं था
low,कम
north,उत्तर
remember,याद रखना
effect,प्रभाव
natural,प्राकृतिक
pretty,सुंदर हे
fall,गिरना
fair,गोरा
service,सर्विस
below,नीचे
except,के अलावा
American,अमेरिकन
hair,केश
London,लंडन
laid,लिटाया
pass,उत्तीर्ण करना
led,नेतृत्व करना
copyright,कॉपीराइट
doing,काम
army,सेना
run,Daud
horse,घोड़ा
future,भविष्य
opened,खुल गया
pleasure,आनंद
history,इतिहास
west,पश्चिम
pay,भुगतान करना
red,लाल
an',एक'
4,4
hath,हाथ
note,टिप्पणी
although,यद्यपि
wanted,चाहता था
gold,सोना
makes,बनाता है
desire,मंशा
play,प्ले Play
master,गुरुजी
office,कार्यालय
tried,कोशिश की
front,सामने
big,बड़े
Dr,डॉ
lived,रहते थे
certainly,निश्चित रूप से
wind,हवा
receive,प्राप्त करना
attention,ध्यान
government,सरकार
unto,पर्यत
church,गिरजाघर
strength,ताकत
length,लंबाई
company,सोहबत
placed,रखा हे
paper,कागज़
letters,पत्र
probably,शायद
glad,प्रसन्न
important,जरूरी
especially,विशेष रूप से
greater,ग्रेटर
yourself,स्वयं
fellow,साथी
bear,सहना
opinion,राय
window,खिड़की
ran,दौड़ा
faith,आस्था
ago,पहले
agreement,समझौता
charge,शुल्क
beauty,सुंदरता
lips,होंठ
remained,बने रहे
arm,बाजू
latter,बाद वाला
duty,कर्तव्य
send,भेजना
distance,दूरी
silence,शांति
foot,पैर
wild,जंगली
object,वस्तु
die,मरना
save,सहेजें
gentleman,सज्जन
trees,पेड़
green,हरा
trouble,मुसीबत
smile,मुस्कुराओ
books,पुस्तकें
wrong,गलत
various,विभिन्न
sleep,सोना
persons,व्यक्तियों
blockquote,ब्लॉककोट
happened,हो गई
particular,विशिष्ट
drew,ड्रयू
minutes,मिनट
hardly,मुश्किल से
walked,चला
chief,मुखिया
chance,मोका
according,अनुसार
beginning,शुरुआत
action,गतिविधि
deal,सौदा
loved,प्यार किया
visit,मुलाकात
thinking,विचारधारा
follow,अनुसरण
standing,खड़ा है
knows,जानता है
try,प्रयत्न
presence,मौजूदगी
heavy,भारी
sweet,मिठाई
plain,मैदान
donations,दान
immediately,तुरंत
wrote,लिखा
mouth,मुँह
rich,धनी
thoughts,विचार
months,महीने
u,यू
won't,नहीं होगा
afraid,डरना
Paris,पेरिस
single,एक
joy,हर्ष
enemy,दुश्मन
broken,टूटा हुआ
unless,जब तक
states,राज्यों
ship,जहाज
condition,स्थिति
carry,ले जाना
exclaimed,कहा
including,समेत
filled,भर ग्या
seeing,देख के
influence,प्रभाव
write,लिखना
boys,लड़के
appear,दिखाई देना
outside,बाहर
secret,गुप्त
parts,पार्ट्स
please,कृपया
appearance,उपस्थिति
evil,बुराई
march,मार्च
George,जॉर्ज
whatever,जो भी हो
slowly,धीरे से
tears,आँसू
horses,घोड़ों
places,स्थान
caught,पकड़े गए
stay,रहना
instead,बजाय
struck,मारना
blue,नीला
York,यॉर्क
impossible,असंभव
period,अवधि
sister,बहन
battle,युद्ध
school,विद्यालय
Mary,मेरी
raised,बढ़ाया गया
occasion,अवसर
married,विवाहित
man's,पुस्र्ष का
former,भूतपूर्व
food,भोजन
youth,युवा
learned,सीखा
merely,सिर्फ़
reach,पहुँचना
system,प्रणाली
twenty,बीस
dinner,रात का खाना
quiet,शांत
easily,सरलता
moved,ले जाया गया
afterwards,उसके बाद
giving,दे रही है
walk,टहल लो
stopped,रोका हुआ
laughed,हँसे
language,भाषा: हिन्दी
expression,अभिव्यक्ति
week,सप्ताह
hall,बड़ा कमरा
danger,खतरा
property,संपत्ति
wonder,आश्चर्य
usual,सामान्य
figure,आकृति
born,पैदा होना
court,कोर्ट
generally,आम तौर पर
grew,बढ़ी
showed,दिखाया है
getting,उपार्जन
ancient,प्राचीन
respect,आदर
third,तीसरा
worth,कीमत
simple,सरल
tree,पेड़
leaving,छोड़ने
remain,अवशेष
society,समाज
fight,लड़ाई
wall,दीवार
result,नतीजा
heaven,स्वर्ग
William,विलियम
started,शुरू किया गया
command,आज्ञा
tone,सुर
regard,संबद्ध
expected,अपेक्षित
mere,मात्र
month,महीना
beside,के बगल में
silent,चुपचाप
perfect,पूरी तरह से ठीक
experience,अनुभव
street,मोहल्ला
writing,लिखना
goes,जाता है
circumstances,परिस्थितियाँ
entirely,पूरी तरह से
fresh,ताज़ा
duke,शासक
covered,ढका हुआ
bound,अवश्यंभावी
east,पूर्व
wood,लकड़ी
stone,पथरी
quickly,तुरंत
notice,सूचना
bright,चमकदार
Christ,ईसा मसीह
boat,नाव
noble,महान
meant,मतलब था
somewhat,कुछ हद तक
sudden,अचानक
value,मूल्य
c.,सी।
direction,दिशा
chair,कुर्सी
due,देय
support,सहयोग
tom,टॉम
date,दिनांक
waiting,इंतज़ार कर रही
Christian,ईसाई
village,गाँव rajnagar
lives,जीवन
reading,पढ़ना
agree,इस बात से सहमत
lines,पंक्तियां
considered,माना
field,खेत
observed,देखा
scarcely,शायद ही
wished,कामना
wait,रुको
greatest,महानतम
permission,अनुमति
success,सफलता
piece,टुकड़ा
British,अंग्रेजों
ex,भूतपूर्व
Charles,चार्ल्स
formed,बनाया
speaking,बोला जा रहा है
trying,कोशिश कर रहे हैं
conversation,बातचीत
proper,ठीक
hill,पहाड़ी
music,संगीत
opportunity,मौका
that's,वह है
German,जर्मन
afternoon,दोपहर
cry,रोना
cost,कीमत
allowed,अनुमत
girls,लड़कियाँ
considerable,विचारणीय
c,सी
broke,टूट गया
honour,सम्मान
seven,सात
private,निजी
sit,बैठना
news,समाचार
top,ऊपर
scene,दृश्य
discovered,की खोज की
marriage,विवाह
step,कदम
garden,बगीचा
race,जाति
begin,शुरू करना
per,प्रति
individual,व्यक्ति
sitting,बैठक
learn,सीखना
political,राजनीतिक
difficult,मुश्किल
bit,अंश
speech,भाषण
Henry,हेनरी
lie,झूठ
cast,ढालना
eat,खाना खा लो
authority,अधिकार
etc.,आदि।
floor,मंज़िल
ill,बीमार
ways,तरीके
officers,अधिकारियों
offered,की पेशकश की
original,मूल
happiness,ख़ुशी
flowers,फूल
produced,प्रस्तुत
summer,गर्मी
provide,प्रदान करना
study,पढाई
religion,धर्म
picture,चित्र
walls,दीवारों
personal,व्यक्तिगत
America,अमेरिका
watch,घड़ी
pleased,खुश
leaves,पत्तियाँ
declared,घोषित
hot,गरम
understood,समझा
effort,कोशिश
prepared,तैयार
escape,बच निकलना
attempt,प्रयास
supposed,कल्पित
killed,मारे गए
fast,तेज
author,लेखक
Indian,भारतीय
brown,भूरा
determined,निर्धारित
pain,दर्द
spring,स्प्रिंग
takes,लेता है
drawn,अनिर्णित
soldiers,सैनिकों
houses,मकानों
beneath,के नीचे
talking,बात कर रहे
turning,मोड़
century,सदी
steps,कदम
intended,अभीष्ट
soft,मुलायम
straight,सीधा
matters,मामलों
likely,संभावित
corner,कोना
trademark,ट्रेडमार्क
justice,न्याय
simply,केवल
produce,उत्पाद
trust,विश्वास
appears,दिखाई पड़ना
Rome,रोम
laugh,हँसना
forget,भूल जाओ
Europe,यूरोप
passage,रास्ता
eight,आठ
closed,बंद किया हुआ
ourselves,हम स्वयं
gives,देता है
dress,पोशाक
passing,मृत्यु
terrible,भयानक
required,आवश्यक
medium,मध्यम
efforts,प्रयास
sake,खातिर
breath,सांस
wise,बुद्धिमान
ladies,महिलाओं
possession,कब्ज़ा
pleasant,सुहानी
perfectly,पूरी तरह से
o',o '
memory,स्मृति
usually,आम तौर पर
grave,गंभीर
fixed,हल किया गया
modern,आधुनिक
spot,धब्बा
troops,सैनिकों
rise,उठना
break,टूटना
fifty,पचास
island,द्वीप
meeting,बैठक
camp,शिविर
nation,राष्ट्र
existence,अस्तित्व
reply,जवाब दे दो
I'd,पहचान
copies,प्रतियां
sky,आकाश
touch,स्पर्श
equal,बराबर
fortune,भाग्य
v.,वी
shore,किनारा
domain,कार्यक्षेत्र
named,नामित
situation,परिस्थिति
looks,दिखता है
promise,वायदा
orders,आदेश
degree,डिग्री
middle,मध्य
winter,सर्दी
plan,योजना
spent,खर्च किया
allow,अनुमति
pale,फीका
conduct,आचरण
running,दौड़ना
religious,धार्मिक
surprise,हैरत में डालना
minute,मिनट
roman,रोमन
cases,मामलों
shot,गोली मारना
lead,नेतृत्व करना
move,हिलाना
names,नाम
